plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,revision_date,date_added,gpc,image_url,image
4535,Vegetables,Beans,Retailer Assigned,All Sizes,NA,NA,NA,Phaseolus spp.,NA,1999-12-31,1999-12-31,NA,NA,NA
4536,Vegetables,Bean Sprouts,Mung Bean Sprouts,All Sizes,NA,NA,NA,Vigna radiata,NA,2018-10-08,1999-12-31,NA,NA,NA
4537,Vegetables,Beets,Baby Golden,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4538,Vegetables,Beets,Baby Red,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4539,Vegetables,Beets,Bunch,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4540,Vegetables,Beets,Loose,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4541,Vegetables,Beets,Retailer Assigned,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4542,Vegetables,Beet Greens,NA,All Sizes,NA,NA,NA,Beta vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4543,Vegetables,Belgian Endive (Witloof Chicory),NA,All Sizes,NA,NA,NA,Cichorium intybus,NA,1999-12-31,1999-12-31,NA,NA,NA
4544,Vegetables,Bok Choy (Pak Choi),Small/Baby,All Sizes,NA,NA,NA,Brassica rapa,NA,1999-12-31,1999-12-31,NA,NA,NA
4545,Vegetables,Bok Choy (Pak Choi),NA,All Sizes,NA,NA,NA,Brassica rapa,NA,1999-12-31,1999-12-31,NA,NA,NA
4546,Vegetables,Boniato,See also SWEET POTATO,All Sizes,NA,NA,NA,Ipomoea batato,NA,1999-12-31,1999-12-31,NA,NA,NA
4547,Vegetables,Broccoli,Broccoli Rabe (Italian Rapini)/ Chinese Broccoli (GAI LAN),All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4548,Vegetables,Broccoli,Florettes,All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4549,Vegetables,Broccoli,Retailer Assigned,All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4550,Vegetables,Brussels Sprouts,NA,All Sizes,NA,NA,NA,Brassica olerace,NA,1999-12-31,1999-12-31,NA,NA,NA
4551,Vegetables,Brussels Sprouts,Retailer Assigned,All Sizes,NA,NA,NA,Brassica olerace,NA,1999-12-31,1999-12-31,NA,NA,NA
4552,Vegetables,Cabbage,Chinese/Napa/Wong Bok,All Sizes,NA,NA,NA,Brassica rapa,NA,1999-12-31,1999-12-31,NA,NA,NA
4553,Fruits,Pears,Taylors Gold,All Sizes,NA,NA,NA,Pyrus spp.,NA,1999-12-31,1999-12-31,NA,NA,NA
4554,Vegetables,Cabbage,Red,All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4555,Vegetables,Cabbage,"Savoy, Green",All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4556,Vegetables,Cabbage,Retailer Assigned,All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4557,Vegetables,Cabbage,Retailer Assigned,All Sizes,NA,NA,NA,Brassica oleracea,NA,1999-12-31,1999-12-31,NA,NA,NA
4558,Vegetables,Cactus Leaves (Nopales/Cactus Pads),NA,All Sizes,NA,NA,NA,Opuntia spp,NA,2018-10-08,1999-12-31,NA,NA,NA
4559,Vegetables,Cardoon (Cardoni),NA,All Sizes,NA,NA,NA,Cynara cardunculus,NA,1999-12-31,1999-12-31,NA,NA,NA
4560,Vegetables,Carrots,Baby,All Sizes,NA,NA,NA,Daucus carota,NA,1999-12-31,1999-12-31,NA,NA,NA
4561,Vegetables,Carrots,French,All Sizes,NA,NA,NA,Daucus carota,NA,1999-12-31,1999-12-31,NA,NA,NA
